,auc_prob,auc_pred,fbeta,f1,plr,nlr,perm_score,pval_score,train_score,fold,gen,model,subset
4,0.50797,0.51002,0.6574,0.6574,1.04122,0.96103,0.49418,0.68317,0.47915,0,f,bnb,top5
5,0.50797,0.51002,0.6574,0.6574,1.04122,0.96103,0.49418,0.68317,0.47915,0,f,bnb,top5
6,0.50797,0.51002,0.6574,0.6574,1.04122,0.96103,0.49418,0.68317,0.47915,0,f,bnb,top5
7,0.50797,0.51002,0.6574,0.6574,1.04122,0.96103,0.49418,0.68317,0.47915,0,f,bnb,top5
8,0.50797,0.51002,0.6574,0.6574,1.04122,0.96103,0.49418,0.68317,0.47915,0,f,bnb,top5
9,0.50797,0.51002,0.6574,0.6574,1.04122,0.96103,0.49418,0.68317,0.47915,0,f,bnb,top5
0,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
1,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
2,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
3,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
4,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
5,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
6,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
7,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
8,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
9,0.50086,0.4749,0.63195,0.63195,0.90243,1.10339,0.4947,0.09901,0.53638,1,f,bnb,top5
0,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
1,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
2,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
3,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
4,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
5,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
6,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
7,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
8,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
9,0.52524,0.51933,0.66798,0.66798,1.08171,0.92659,0.49787,0.68317,0.48095,2,f,bnb,top5
0,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
1,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
2,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
3,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
4,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
5,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
6,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
7,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
8,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
9,0.50907,0.51896,0.64747,0.64747,1.07617,0.9245,0.50115,0.81188,0.47097,3,f,bnb,top5
0,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
1,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
2,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
3,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
4,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
5,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
6,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
7,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
8,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
9,0.49996,0.51093,0.63347,0.63347,1.04254,0.95503,0.50442,0.54455,0.50203,4,f,bnb,top5
0,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
1,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
2,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
3,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
4,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
5,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
6,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
7,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
8,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
9,0.57214,0.54491,0.72324,0.72324,1.22224,0.84925,0.50025,0.24752,0.5216,0,combine,bnb,top5
0,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
1,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
2,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
3,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
4,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
